,City,City ID,Temperature (F),Humidity (%),Cloud Coverage (%),Wind Speed (mph),Latitude,Longitude
0,Avarua,4035715,78.8,100,65,2.24,-21.21,-159.78
1,College,5859699,24.42,85,75,4.7,64.86,-147.8
2,Hermanus,3366880,67.75,76,100,5.01,-34.42,19.23
3,Ushuaia,3833367,47.52,49,40,18.34,-54.8,-68.3
4,Praia da Vitória,3372760,64.4,72,20,11.77,38.73,-27.07
5,Hithadhoo,1282256,85.06,65,49,6.69,-0.6,73.08
6,Qaanaaq,3831208,13.87,78,77,3.33,77.48,-69.36
7,Mahébourg,934322,77.4,73,75,13.87,-20.41,57.7
8,Busselton,2075265,67.33,53,100,6.13,-33.65,115.33
9,Port Lincoln,2063036,55.89,66,59,9.35,-34.73,135.87
10,Port Elizabeth,964420,62.6,72,100,3.36,-33.92,25.57
11,Udachny,2014624,28.4,63,90,6.71,66.42,112.4
12,Moose Jaw,6078112,28.83,46,75,19.46,50.4,-105.53
13,Jamestown,5122534,40.87,47,1,11.41,42.1,-79.24
14,Kalengwa,915285,64.99,64,100,4.65,-13.47,25.0
15,Taltal,3870243,69.84,60,14,5.88,-25.4,-70.48
16,Rikitea,4030556,76.73,74,94,3.83,-23.12,-134.97
17,Lompoc,5367788,61.63,72,40,8.05,34.64,-120.46
18,Vallenar,3868633,76.14,29,93,8.55,-28.57,-70.76
19,Tuktoyaktuk,6170031,-5.8,76,75,4.7,69.45,-133.04
20,Pankrushikha,1495613,31.96,88,9,6.96,53.83,80.34
21,Codrington,2171099,51.37,73,64,11.7,-38.27,141.97
22,Nikolskoye,546105,34.45,69,75,2.24,59.7,30.79
23,Mataura,6201424,54.0,74,100,3.0,-46.19,168.86
24,Campbell River,5914132,53.15,34,5,11.41,50.02,-125.24
25,Punta Arenas,3874787,48.13,66,40,19.46,-53.15,-70.92
26,Cerritos,5335663,60.66,67,75,3.36,33.86,-118.06
27,Laela,156098,61.99,62,50,3.96,-8.57,32.05
28,Souillac,933995,77.47,73,75,13.87,-20.52,57.52
29,Lynn Haven,4163049,73.29,26,1,10.29,30.25,-85.65
30,Hilo,5855927,67.8,77,20,1.28,19.73,-155.09
31,Nador,2541479,60.96,82,90,9.17,35.17,-2.93
32,Kapaa,5848280,70.61,73,1,11.41,22.08,-159.32
33,Shenjiamen,1795632,50.36,77,100,30.06,29.96,122.3
34,Paamiut,3421193,40.26,71,94,5.93,61.99,-49.67
35,Kirakira,2178753,80.55,80,98,6.55,-10.45,161.92
36,Tasiilaq,3424607,32.0,90,40,16.11,65.61,-37.64
37,Dikson,1507390,13.53,92,100,5.86,73.51,80.55
38,Kavieng,2094342,82.92,74,97,4.68,-2.57,150.8
39,Saskylakh,2017155,4.77,90,87,17.72,71.92,114.08
40,Port Alfred,964432,68.0,91,100,1.01,-33.59,26.89
41,Montevista,1699264,71.65,86,27,1.39,7.69,125.99
42,Saint Paul Harbor,5866583,39.2,80,90,17.22,57.79,-152.41
43,Cape Town,3369157,63.48,93,75,14.99,-33.93,18.42
44,Shūshtar,114584,73.08,27,66,7.9,32.05,48.86
45,Saint-Joseph,6690296,70.23,83,48,5.82,-21.37,55.62
46,Pevek,2122090,5.49,93,98,14.0,69.7,170.31
47,Dingle,1714733,77.4,73,2,5.68,11.0,122.67
48,Pisco,3932145,72.64,30,1,10.29,-13.7,-76.22
49,Kovdor,543508,22.59,92,70,5.21,67.57,30.48
50,Bathsheba,3374083,87.8,55,40,14.99,13.22,-59.52
51,Bontang,1648186,76.1,88,86,3.83,0.13,117.5
